mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59371.58781,2.767,2.419,21.242,5.68974,19.74,0.257,c
59375.59212,2.739,2.349,21.306,5.86086,19.773,0.286,c
59375.59903,2.739,2.349,21.306,5.86086,19.596,0.359,c
59379.55858,2.711,2.28,21.33,6.03756,19.244,0.174,c
59379.56181,2.711,2.28,21.33,6.03756,19.241,0.172,c
59379.56919,2.711,2.28,21.33,6.03756,19.738,0.259,c
59379.58713,2.71,2.279,21.33,6.03942,19.729,0.251,c
59383.59127,2.682,2.211,21.314,6.22356,19.111,0.219,c
59385.56426,2.668,2.178,21.293,6.31842,19.356,0.281,o
59385.57657,2.668,2.178,21.293,6.31842,18.731,0.151,o
59385.58804,2.668,2.178,21.292,6.32028,18.795,0.154,o
59385.59354,2.668,2.178,21.292,6.32028,18.629,0.137,o
59385.594,2.668,2.178,21.292,6.32028,19.298,0.261,o
59387.56561,2.654,2.145,21.262,6.41514,18.804,0.205,o
59387.58456,2.654,2.145,21.261,6.417,18.927,0.328,o
59389.55989,2.639,2.113,21.222,6.51372,19.196,0.685,o
59391.53417,2.625,2.081,21.175,6.61416,18.937,0.52,o
59391.54385,2.625,2.081,21.174,6.61416,18.08,0.222,o
59393.53096,2.611,2.05,21.119,6.71646,18.35,0.278,o
59393.55799,2.611,2.049,21.118,6.71646,18.118,0.205,o
59395.56422,2.596,2.018,21.054,6.82062,18.135,0.156,o
59395.57425,2.596,2.018,21.054,6.82248,18.129,0.149,o
59395.58571,2.596,2.018,21.053,6.82248,18.71,0.251,o
59395.59264,2.596,2.017,21.053,6.82248,18.226,0.161,o
59399.55145,2.567,1.957,20.906,7.03266,18.267,0.125,o
59399.55467,2.567,1.957,20.906,7.03266,18.041,0.103,o
59399.5647,2.567,1.957,20.906,7.03452,18.146,0.11,o
59399.57023,2.567,1.957,20.905,7.03452,18.152,0.108,o
59411.55923,2.48,1.787,20.348,7.70226,17.757,0.077,o
59411.57216,2.48,1.787,20.348,7.70412,17.657,0.07,o
59415.49717,2.451,1.736,20.156,7.92918,17.372,0.093,o
59415.5073,2.451,1.736,20.156,7.93104,17.469,0.089,o
59423.49737,2.392,1.639,19.82,8.39604,16.857,0.076,o
59423.50014,2.392,1.639,19.82,8.39604,16.999,0.086,o
59423.51669,2.392,1.639,19.82,8.3979,16.925,0.078,o
59423.52223,2.392,1.639,19.82,8.3979,17.174,0.095,o
59433.51007,2.318,1.533,19.64,8.97636,16.471,0.036,o
59433.5119,2.318,1.533,19.64,8.97636,16.472,0.036,o
59433.51464,2.318,1.533,19.64,8.97636,16.436,0.035,o
59433.52013,2.318,1.533,19.64,8.97636,16.44,0.034,o
59529.25961,1.621,1.186,37.403,11.60268,13.079,0.019,o
59529.26511,1.621,1.186,37.404,11.60268,13.064,0.019,o
59529.30052,1.621,1.186,37.411,11.60268,13.048,0.019,o
59535.27004,1.583,1.183,38.579,11.63802,12.925,0.02,o
59535.27327,1.583,1.183,38.579,11.63802,12.966,0.04,o
59535.2788,1.583,1.183,38.581,11.63802,12.914,0.019,o
59535.28989,1.583,1.183,38.583,11.63802,12.977,0.019,o
59537.25037,1.571,1.182,38.952,11.64918,12.834,0.019,o
59537.25723,1.571,1.182,38.953,11.64918,12.805,0.02,o
59537.26731,1.571,1.182,38.955,11.64918,12.83,0.019,o
59539.26951,1.558,1.181,39.324,11.66034,12.806,0.023,o
59539.27968,1.558,1.181,39.326,11.66034,12.792,0.016,o
59541.24203,1.546,1.18,39.681,11.66964,12.743,0.015,o
59541.25213,1.546,1.18,39.683,11.66964,12.75,0.015,o
59541.25809,1.546,1.18,39.684,11.66964,12.742,0.014,o
59543.2821,1.534,1.179,40.042,11.67894,12.707,0.013,o
59543.28533,1.534,1.179,40.042,11.67894,12.703,0.013,o
59543.29227,1.534,1.179,40.043,11.67894,12.706,0.014,o
59543.30289,1.534,1.179,40.045,11.67894,12.71,0.014,o
59545.24629,1.523,1.178,40.381,11.68638,12.635,0.015,o
59545.24995,1.523,1.178,40.382,11.68638,12.614,0.015,o
59545.25545,1.523,1.178,40.383,11.68638,12.624,0.015,o
59545.2665,1.523,1.178,40.384,11.68638,12.634,0.015,o
59547.23213,1.511,1.177,40.716,11.69382,12.642,0.018,o
59547.26847,1.511,1.177,40.722,11.69382,12.616,0.018,o
59547.27493,1.511,1.177,40.723,11.69382,12.618,0.017,o
59547.27817,1.511,1.177,40.724,11.69382,12.625,0.017,o
59551.24776,1.489,1.176,41.367,11.70684,12.501,0.011,o
59551.25099,1.489,1.176,41.367,11.70684,12.496,0.011,o
59551.25653,1.489,1.176,41.368,11.70684,12.494,0.011,o
59551.26805,1.489,1.176,41.37,11.70684,12.498,0.011,o
59559.24304,1.447,1.175,42.549,11.718,12.252,0.013,o
59559.24583,1.447,1.175,42.549,11.718,12.248,0.013,o
59559.25182,1.447,1.175,42.55,11.718,12.242,0.013,o
59559.26288,1.447,1.175,42.552,11.718,12.247,0.013,o
59563.24506,1.428,1.175,43.08,11.71428,12.138,0.011,o
59563.2484,1.428,1.175,43.08,11.71428,12.135,0.011,o
59563.2544,1.428,1.175,43.081,11.71428,12.143,0.014,o
59563.26505,1.428,1.175,43.082,11.71428,12.134,0.012,o
59584.22345,1.347,1.191,45.058,11.55618,11.574,0.01,o
59584.22722,1.347,1.191,45.058,11.55618,11.568,0.009,o
59584.2337,1.347,1.191,45.058,11.55618,11.568,0.01,o
59584.24802,1.347,1.191,45.059,11.55618,11.562,0.009,o
59586.2092,1.342,1.194,45.161,11.52642,11.514,0.014,o
59586.21241,1.342,1.194,45.161,11.52642,11.514,0.015,o
59586.2225,1.342,1.194,45.162,11.52642,11.512,0.015,o
59586.24669,1.342,1.194,45.163,11.52456,11.513,0.015,o
59588.20945,1.337,1.198,45.249,11.49108,11.49,0.011,o
59588.2136,1.337,1.198,45.249,11.49108,11.491,0.011,o
59588.21914,1.337,1.198,45.25,11.49108,11.491,0.011,o
59588.23354,1.337,1.198,45.25,11.49108,11.494,0.011,o
