mjd,T-Tp,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
58316.4396,-152.5014,2.088,1.535,27.55,r,19.2,0.11,r
58316.4791,-152.4619,2.088,1.534,27.55,g,19.67,0.14,g
58319.44133,-149.49967,2.063,1.482,27.58,g,19.56,0.15,g
58319.48157,-149.45943,2.063,1.481,27.58,5,19.17,0.13,r
58322.44048,-146.50052,2.038,1.43,27.58,5,19.65,0.12,g
58325.44063,-143.50037,2.013,1.378,27.54,5,19.27,0.09,g
58325.48044,-143.46056,2.013,1.378,27.54,5,18.87,0.07,r
58327.43898,-141.50202,1.997,1.344,27.5,5,19.38,0.1,g
58327.48113,-141.45987,1.996,1.344,27.5,5,18.77,0.07,r
58337.41909,-131.52191,1.912,1.182,27.1,5,18.1,0.11,i
58337.45918,-131.48182,1.912,1.181,27.1,5,18.72,0.15,g
58337.48513,-131.45587,1.912,1.181,27.09,5,18.18,0.09,r
58349.37935,-119.56165,1.81,1.001,26.17,5,17.36,0.03,r
58349.41736,-119.52364,1.81,1.001,26.16,5,17.92,0.04,g
58351.39365,-117.54735,1.793,0.973,25.97,5,17.2,0.04,i
58351.3941,-117.5469,1.793,0.973,25.97,5,17.22,0.04,i
58352.37786,-116.56314,1.785,0.959,25.87,5,17.89,0.05,g
58352.37834,-116.56266,1.785,0.959,25.87,5,17.9,0.05,g
58352.41696,-116.52404,1.784,0.958,25.86,5,17.36,0.03,r
58355.42633,-113.51467,1.758,0.917,25.54,5,17.72,0.03,g
58355.50206,-113.43894,1.758,0.916,25.54,5,17.25,0.03,r
58358.34937,-110.59163,1.733,0.878,25.22,5,17.18,0.05,r
58360.41335,-108.52765,1.716,0.851,24.99,5,17.1,0.05,r
58361.39639,-107.54461,1.707,0.838,24.88,5,17.04,0.05,r
58361.46169,-107.47931,1.707,0.837,24.87,5,17.04,0.04,r
58364.48235,-104.45865,1.681,0.8,24.53,5,16.88,0.04,r
58366.42584,-102.51516,1.664,0.776,24.31,5,16.79,0.04,r
58367.39785,-101.54315,1.656,0.764,24.21,5,17.22,0.05,g
58367.43848,-101.50252,1.656,0.764,24.2,5,16.72,0.03,r
58370.3758,-98.5652,1.631,0.729,23.9,5,16.61,0.03,r
58370.43264,-98.50836,1.63,0.729,23.9,5,17.09,0.03,g
58373.39733,-95.54367,1.605,0.695,23.63,5,16.46,0.03,r
58373.45721,-95.48379,1.604,0.694,23.62,5,16.98,0.04,g
58376.35839,-92.58261,1.58,0.663,23.41,5,16.21,0.03,r
58376.4158,-92.5252,1.579,0.662,23.4,5,16.82,0.05,g
58378.37574,-90.56526,1.563,0.641,23.29,5,16.14,0.03,r
58378.39794,-90.54306,1.563,0.641,23.29,5,16.59,0.03,g
58381.35535,-87.58565,1.538,0.611,23.2,5,16.46,0.03,g
58381.39879,-87.54221,1.538,0.611,23.2,5,15.96,0.03,r
58384.35486,-84.58614,1.513,0.582,23.2,5,16.29,0.04,g
58384.40904,-84.53196,1.512,0.581,23.2,5,16.26,0.04,g
58384.41879,-84.52221,1.512,0.581,23.2,5,15.79,0.03,r
58387.37637,-81.56463,1.488,0.554,23.31,5,15.64,0.04,r
58387.43491,-81.50609,1.487,0.553,23.32,5,16.13,0.04,g
58388.41976,-80.52124,1.479,0.544,23.39,5,16.09,0.05,g
58388.42021,-80.52079,1.479,0.544,23.39,5,16.04,0.05,g
58390.40459,-78.53641,1.463,0.526,23.57,5,15.43,0.04,r
58390.46049,-78.48051,1.463,0.526,23.58,5,15.99,0.05,g
58391.41643,-77.52457,1.455,0.518,23.69,5,13.94,0.05,i
58393.37675,-75.56425,1.439,0.501,23.97,5,15.3,0.05,g
58401.33683,-67.60417,1.376,0.438,25.8,5,15.32,0.04,g
58401.41625,-67.52475,1.375,0.437,25.83,5,14.84,0.03,r
58460.21883,-8.72217,1.062,0.107,42.29,5,12.01,0.03,r
58460.25331,-8.68769,1.062,0.107,42.25,5,12,0.03,r
58466.25894,-2.68206,1.056,0.086,32.97,5,11.96,0.04,g
58468.24102,-0.69998,1.055,0.082,28.76,5,11.48,0.04,g
58468.27365,-0.66735,1.055,0.082,28.68,5,11.01,0.02,r
58472.27419,3.33319,1.056,0.077,20.52,5,10.96,0.02,r
58475.19706,6.25606,1.059,0.079,18.06,5,11.08,0.04,r
58475.20596,6.26496,1.059,0.079,18.06,5,11.04,0.04,r
58475.20642,6.26542,1.059,0.079,18.06,5,11.07,0.03,r
58475.25646,6.31546,1.059,0.079,18.06,5,11.03,0.04,r
58477.34388,8.40288,1.062,0.083,19.13,5,11.16,0.04,r
58478.11169,9.17069,1.063,0.085,19.93,5,11.72,0.04,g
58478.31534,9.37434,1.063,0.085,20.17,5,11.23,0.02,r
58478.3158,9.3748,1.063,0.085,20.17,5,11.24,0.02,r
58480.33272,11.39172,1.067,0.091,22.77,5,11.41,0.02,r
58480.3332,11.3922,1.067,0.091,22.77,5,11.4,0.02,r
58484.27909,15.33809,1.076,0.106,27.64,5,12.32,0.03,g
58485.4558,16.5148,1.079,0.111,28.8,5,11.94,0.03,r
58490.44576,21.50476,1.095,0.135,32.12,5,12.39,0.03,r
58490.44721,21.50621,1.095,0.135,32.12,5,12.4,0.03,r
58494.21817,25.27717,1.109,0.155,33.2,5,12.64,0.02,r
58494.2191,25.2781,1.109,0.155,33.2,5,12.66,0.02,r
58495.25579,26.31479,1.114,0.161,33.33,5,12.72,0.03,r
58497.24013,28.29913,1.122,0.172,33.44,5,13.34,0.03,g
58497.24106,28.30006,1.122,0.172,33.44,5,13.34,0.03,g
58497.48228,28.54128,1.123,0.173,33.44,5,12.85,0.02,r
58499.25946,30.31846,1.132,0.184,33.37,5,13.41,0.03,g
58506.40891,37.46791,1.169,0.227,32.23,5,13.38,0.03,r
58506.42941,37.48841,1.169,0.228,32.23,5,13.37,0.04,r
58506.50856,37.56756,1.169,0.228,32.21,5,13.38,0.03,r
58507.29398,38.35298,1.174,0.233,32.03,5,13.48,0.05,r
58507.31035,38.36935,1.174,0.233,32.03,5,13.5,0.04,r
58507.32683,38.38583,1.174,0.233,32.02,5,13.51,0.04,r
58507.34344,38.40244,1.174,0.233,32.02,5,13.51,0.04,r
58507.3604,38.4194,1.174,0.234,32.02,5,13.52,0.04,r
58507.37813,38.43713,1.174,0.234,32.01,5,13.53,0.03,r
58507.39558,38.45458,1.174,0.234,32.01,5,13.6,0.04,r
58508.27477,39.33377,1.179,0.239,31.8,5,13.46,0.03,r
58509.2533,40.3123,1.185,0.246,31.56,5,13.59,0.04,r
58509.2654,40.3244,1.185,0.246,31.56,5,13.59,0.04,r
58509.27873,40.33773,1.185,0.246,31.56,5,13.59,0.04,r
58509.29135,40.35035,1.185,0.246,31.55,5,13.6,0.04,r
58509.30404,40.36304,1.185,0.246,31.55,5,13.59,0.04,r
58509.31688,40.37588,1.186,0.246,31.55,5,13.6,0.04,r
58509.3305,40.3895,1.186,0.246,31.54,5,13.61,0.04,r
58509.34452,40.40352,1.186,0.246,31.54,5,13.61,0.04,r
58509.35842,40.41742,1.186,0.247,31.54,5,13.59,0.04,r
58509.37147,40.43047,1.186,0.247,31.53,5,13.6,0.04,r
58509.38446,40.44346,1.186,0.247,31.53,5,13.68,0.05,r
58509.39733,40.45633,1.186,0.247,31.53,5,13.66,0.05,r
58509.51415,40.57315,1.187,0.248,31.5,5,13.62,0.04,r
58510.25277,41.31177,1.191,0.252,31.31,5,13.68,0.04,r
58510.26813,41.32713,1.191,0.253,31.31,5,13.67,0.04,r
58510.285,41.344,1.191,0.253,31.3,5,13.67,0.03,r
58510.30102,41.36002,1.191,0.253,31.3,5,13.67,0.03,r
58510.31727,41.37627,1.191,0.253,31.3,5,13.69,0.03,r
58510.33446,41.39346,1.192,0.253,31.29,5,13.7,0.04,r
58510.3521,41.4111,1.192,0.253,31.29,5,13.68,0.03,r
58510.36974,41.42874,1.192,0.253,31.28,5,13.69,0.03,r
58510.38617,41.44517,1.192,0.253,31.28,5,13.69,0.04,r
58510.40238,41.46138,1.192,0.253,31.27,5,13.7,0.04,r
58511.29232,42.35132,1.197,0.259,31.05,5,13.73,0.03,r
58511.29527,42.35427,1.197,0.259,31.05,5,13.72,0.03,r
58511.29821,42.35721,1.197,0.259,31.05,5,13.73,0.02,r
58511.30116,42.36016,1.197,0.259,31.05,5,13.74,0.02,r
58511.30411,42.36311,1.197,0.259,31.05,5,13.73,0.02,r
58511.30706,42.36606,1.197,0.259,31.04,5,13.74,0.02,r
58511.31003,42.36903,1.198,0.26,31.04,5,13.73,0.02,r
58511.31298,42.37198,1.198,0.26,31.04,5,13.73,0.02,r
58511.31593,42.37493,1.198,0.26,31.04,5,13.73,0.02,r
58511.31888,42.37788,1.198,0.26,31.04,5,13.74,0.03,r
58511.32183,42.38083,1.198,0.26,31.04,5,13.73,0.02,r
58511.32477,42.38377,1.198,0.26,31.04,5,13.73,0.02,r
58511.32772,42.38672,1.198,0.26,31.04,5,13.74,0.02,r
58511.33067,42.38967,1.198,0.26,31.04,5,13.75,0.02,r
58511.33363,42.39263,1.198,0.26,31.04,5,13.74,0.02,r
58511.33659,42.39559,1.198,0.26,31.04,5,13.73,0.03,r
58511.33954,42.39854,1.198,0.26,31.04,5,13.74,0.03,r
58511.34249,42.40149,1.198,0.26,31.04,5,13.73,0.02,r
58511.34544,42.40444,1.198,0.26,31.03,5,13.77,0.03,r
58511.34839,42.40739,1.198,0.26,31.03,5,13.74,0.03,r
58511.35135,42.41035,1.198,0.26,31.03,5,13.74,0.03,r
58511.3557,42.4147,1.198,0.26,31.03,5,13.75,0.03,r
58511.35866,42.41766,1.198,0.26,31.03,5,13.75,0.03,r
58511.36161,42.42061,1.198,0.26,31.03,5,13.74,0.02,r
58511.36459,42.42359,1.198,0.26,31.03,5,13.74,0.02,r
58511.36755,42.42655,1.198,0.26,31.03,5,13.74,0.02,r
58511.37052,42.42952,1.198,0.26,31.03,5,13.73,0.02,r
58511.37349,42.43249,1.198,0.26,31.03,5,13.74,0.03,r
58511.37647,42.43547,1.198,0.26,31.03,5,13.75,0.02,r
