mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59526.25642,8.58,7.956,5.34,5,19.704,0.034,g
59543.22142,8.45,7.768,5.049,5,19.429,0.054,g
59543.22387,8.45,7.768,5.049,5,18.984,0.05,r
59561.01468,8.313,7.64,5.171,5,19.447,0.078,g
59561.01712,8.313,7.64,5.171,5,18.805,0.048,r
59592.9788,8.064,7.58,6.277,5,19.149,0.127,g
59592.98124,8.064,7.58,6.277,5,18.689,0.084,r
59598.79792,8.018,7.588,6.502,5,19.185,0.048,g
59598.80036,8.018,7.588,6.503,5,18.58,0.038,r
59606.94417,7.954,7.607,6.79,5,19.066,0.039,g
59606.94905,7.954,7.607,6.791,5,18.544,0.046,r
59614.79547,7.892,7.632,7.022,5,19.12,0.04,g
59614.79792,7.892,7.632,7.022,5,18.57,0.035,r
59620.83631,7.845,7.654,7.162,5,18.944,0.07,g
59620.83874,7.845,7.654,7.162,5,18.6,0.057,r
59623.89759,7.82,7.665,7.22,5,18.556,0.105,r
59625.52215,7.808,7.672,7.247,5,19.002,0.079,g
59625.52462,7.808,7.672,7.247,5,18.355,0.042,r
59642.42363,7.673,7.74,7.36,5,18.916,0.028,g
59642.42608,7.673,7.74,7.36,5,18.324,0.028,r
59652.45274,7.593,7.777,7.288,5,18.924,0.053,g
59652.45516,7.593,7.777,7.288,5,18.396,0.036,r
59655.00727,7.572,7.786,7.255,5,18.987,0.073,g
59655.00971,7.572,7.786,7.255,5,18.355,0.046,r
59658.43603,7.545,7.797,7.201,5,18.83,0.058,g
59658.4385,7.545,7.797,7.201,5,18.253,0.036,r
59663.77029,7.502,7.812,7.099,5,18.833,0.035,g
59663.77272,7.502,7.812,7.099,5,18.213,0.031,r
59812.38855,6.263,6.582,8.575,5,17.64,0.014,g
59812.39344,6.263,6.582,8.575,5,17.094,0.027,r
59815.10999,6.239,6.532,8.694,5,17.69,0.025,g
59815.11243,6.239,6.532,8.694,5,17.133,0.025,r
59818.10823,6.213,6.477,8.82,5,17.606,0.023,g
59818.11068,6.213,6.477,8.82,5,17.078,0.025,r
59821.34932,6.185,6.417,8.949,5,17.57,0.014,g
59821.35176,6.185,6.416,8.949,5,17.028,0.016,r
59825.3373,6.151,6.342,9.097,5,17.541,0.017,g
59825.33975,6.151,6.342,9.098,5,17.008,0.022,r
59827.4109,6.132,6.302,9.17,5,17.513,0.016,g
59827.41336,6.132,6.302,9.17,5,17.008,0.021,r
59828.36727,6.124,6.284,9.202,5,17.54,0.014,g
59828.36971,6.124,6.284,9.202,5,16.969,0.016,r
59831.09567,6.1,6.232,9.29,5,17.48,0.044,g
59831.09811,6.1,6.232,9.29,5,16.954,0.032,r
59831.32676,6.098,6.228,9.297,5,17.501,0.04,g
