mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59600.91601,5.301,5.072,10.589,10,19.156,0.074,g
59600.91845,5.301,5.072,10.589,10,18.49,0.068,r
59625.85492,5.093,5.204,10.94,10,18.883,0.209,g
59625.85735,5.093,5.204,10.94,10,19.601,0.406,r
59641.08905,4.966,5.283,10.52,10,16.672,0.047,r
59871.47696,3.023,2.325,15.404,10,16.239,0.013,g
59871.4794,3.023,2.325,15.404,10,15.748,0.013,r
59875.03328,2.995,2.252,14.649,10,16.135,0.015,g
59875.03572,2.995,2.252,14.649,10,15.654,0.019,r
59896.30678,2.828,1.887,7.646,10,15.452,0.014,g
59896.30782,2.828,1.887,7.646,10,14.944,0.014,r
59899.66244,2.802,1.845,6.232,10,15.37,0.015,g
59899.66244,2.802,1.845,6.233,10,14.887,0.02,r
59902.16965,2.783,1.816,5.186,10,15.23,0.013,g
59902.17071,2.783,1.816,5.185,10,14.759,0.014,r
59906.56321,2.75,1.772,3.593,10,15.181,0.029,g
59906.56425,2.75,1.772,3.592,10,14.672,0.03,r
59912.26402,2.708,1.729,3.301,10,15.021,0.01,g
59912.26507,2.708,1.729,3.302,10,14.554,0.011,r
59915.47275,2.684,1.712,4.341,10,15.05,0.019,g
59915.47381,2.684,1.712,4.342,10,14.569,0.02,r
59917.47558,2.67,1.703,5.223,10,15.074,0.015,g
59917.47664,2.67,1.703,5.223,10,14.57,0.018,r
59924.84799,2.616,1.688,8.982,10,15.191,0.014,g
59924.84904,2.616,1.688,8.982,10,14.699,0.017,r
59927.52359,2.598,1.689,10.391,10,15.181,0.008,g
59927.52465,2.598,1.689,10.392,10,14.705,0.01,r
59929.45583,2.584,1.692,11.398,10,15.233,0.008,g
59929.4569,2.584,1.692,11.399,10,14.741,0.009,r
59935.95919,2.539,1.711,14.64,10,15.29,0.01,g
59935.96025,2.539,1.711,14.641,10,14.823,0.011,r
59939.89975,2.512,1.73,16.444,10,15.28,0.016,g
59939.9008,2.512,1.73,16.445,10,14.803,0.017,r
59942.8366,2.493,1.748,17.692,10,15.348,0.019,g
59942.83765,2.493,1.748,17.692,10,14.896,0.02,r
59949.13133,2.452,1.793,20.061,10,15.377,0.015,g
59949.13274,2.452,1.793,20.061,10,14.916,0.018,r
59952.11142,2.433,1.818,21.031,10,15.396,0.014,g
59952.11282,2.433,1.818,21.031,10,14.942,0.014,r
59955.11308,2.414,1.845,21.908,10,15.425,0.012,g
59955.11448,2.414,1.845,21.909,10,14.982,0.012,r
59961.11152,2.377,1.902,23.369,10,15.397,0.011,g
59961.11291,2.377,1.902,23.37,10,14.982,0.011,r
59964.82912,2.355,1.939,24.086,10,15.408,0.01,g
59964.83053,2.355,1.939,24.086,10,14.999,0.011,r
59967.42625,2.34,1.965,24.505,10,15.407,0.011,g
59967.42766,2.34,1.965,24.505,10,14.985,0.013,r
59970.11137,2.325,1.993,24.872,10,15.415,0.013,g
59970.11275,2.325,1.993,24.872,10,14.989,0.012,r
59978.43285,2.279,2.079,25.617,10,15.406,0.015,g
59978.43459,2.279,2.079,25.617,10,15.017,0.016,r
59983.83091,2.251,2.134,25.825,10,15.406,0.016,g
59983.83265,2.251,2.134,25.826,10,15.011,0.013,r
59986.46285,2.238,2.16,25.86,10,15.4,0.011,g
59986.46459,2.238,2.16,25.86,10,15.011,0.012,r
59993.81528,2.203,2.229,25.764,10,15.413,0.01,g
59993.81701,2.203,2.229,25.763,10,15.021,0.011,r
59996.77799,2.19,2.256,25.655,10,15.404,0.012,g
59996.77973,2.19,2.256,25.655,10,15.014,0.013,r
59999.05453,2.18,2.275,25.551,10,15.38,0.016,g
59999.05804,2.18,2.275,25.551,10,15.006,0.014,r
60002.01549,2.167,2.3,25.391,10,15.396,0.021,g
60002.01722,2.167,2.3,25.39,10,15.017,0.026,r
60005.43525,2.154,2.327,25.178,10,15.375,0.018,g
60005.437,2.154,2.327,25.178,10,15.014,0.017,r
60008.41428,2.142,2.349,24.973,10,15.358,0.015,g
60008.41608,2.142,2.349,24.973,10,15.002,0.017,r
60011.76157,2.13,2.372,24.728,10,15.387,0.017,g
60011.76332,2.13,2.372,24.728,10,15.01,0.017,r
60017.01742,2.112,2.405,24.327,10,15.401,0.014,g
60017.01917,2.112,2.405,24.327,10,15.004,0.016,r
60021.01245,2.099,2.427,24.02,10,15.394,0.016,g
60021.01421,2.099,2.427,24.02,10,15.031,0.016,r
60024.00442,2.091,2.442,23.794,10,15.397,0.015,g
60024.00617,2.091,2.442,23.794,10,15.022,0.016,r
60029.99955,2.075,2.468,23.373,10,15.467,0.018,g
60030.00128,2.075,2.468,23.373,10,15.052,0.02,r
60032.98568,2.068,2.479,23.184,10,15.375,0.019,g
60032.98743,2.068,2.479,23.184,10,14.945,0.022,r
60037.73307,2.058,2.493,22.924,10,15.462,0.018,g
60037.73448,2.058,2.493,22.924,10,15.08,0.018,r
60039.98089,2.054,2.498,22.819,10,15.478,0.022,g
60039.98229,2.054,2.498,22.819,10,15.061,0.022,r
60042.98231,2.049,2.505,22.7,10,15.461,0.01,g
60042.98372,2.049,2.505,22.7,10,15.062,0.012,r
60049.97323,2.04,2.514,22.519,10,15.503,0.017,g
60049.97464,2.04,2.514,22.519,10,15.104,0.021,r
