mjd,rh,delta,alpha,aper_arcsec,mag_scatter,mag_err,filter
59526.25642,8.58,7.956,5.34,5,18.534,0.034,g
59543.22142,8.45,7.768,5.049,5,18.282,0.054,g
59543.22387,8.45,7.768,5.049,5,18.209,0.05,r
59561.01468,8.313,7.64,5.171,5,18.047,0.078,g
59561.01712,8.313,7.64,5.171,5,18.083,0.048,r
59592.9788,8.064,7.58,6.277,5,17.91,0.127,g
59592.98124,8.064,7.58,6.277,5,17.822,0.084,r
59598.79792,8.018,7.588,6.502,5,17.802,0.048,g
59598.80036,8.018,7.588,6.503,5,17.861,0.038,r
59606.94417,7.954,7.607,6.79,5,17.848,0.039,g
59606.94905,7.954,7.607,6.791,5,17.868,0.046,r
59614.79547,7.892,7.632,7.022,5,17.801,0.04,g
59614.79792,7.892,7.632,7.022,5,17.787,0.035,r
59620.83631,7.845,7.654,7.162,5,17.754,0.07,g
59620.83874,7.845,7.654,7.162,5,17.699,0.057,r
59623.89759,7.82,7.665,7.22,5,17.736,0.105,r
59625.52215,7.808,7.672,7.247,5,17.667,0.079,g
59625.52462,7.808,7.672,7.247,5,17.749,0.042,r
59642.42363,7.673,7.74,7.36,5,17.572,0.028,g
59642.42608,7.673,7.74,7.36,5,17.622,0.028,r
59652.45274,7.593,7.777,7.288,5,17.584,0.053,g
59652.45516,7.593,7.777,7.288,5,17.63,0.036,r
59655.00727,7.572,7.786,7.255,5,17.589,0.073,g
59655.00971,7.572,7.786,7.255,5,17.574,0.046,r
59658.43603,7.545,7.797,7.201,5,17.455,0.058,g
59658.4385,7.545,7.797,7.201,5,17.523,0.036,r
59663.77029,7.502,7.812,7.099,5,17.469,0.035,g
59663.77272,7.502,7.812,7.099,5,17.468,0.031,r
59812.38855,6.263,6.582,8.575,5,16.178,0.014,g
59812.39344,6.263,6.582,8.575,5,16.222,0.027,r
59815.10999,6.239,6.532,8.694,5,16.243,0.025,g
59815.11243,6.239,6.532,8.694,5,16.217,0.025,r
59818.10823,6.213,6.477,8.82,5,16.222,0.023,g
59818.11068,6.213,6.477,8.82,5,16.11,0.025,r
59821.34932,6.185,6.417,8.949,5,16.024,0.014,g
59821.35176,6.185,6.416,8.949,5,16.063,0.016,r
59825.3373,6.151,6.342,9.097,5,16.018,0.017,g
59825.33975,6.151,6.342,9.098,5,16.012,0.022,r
59827.4109,6.132,6.302,9.17,5,16.154,0.016,g
59827.41336,6.132,6.302,9.17,5,15.967,0.021,r
59828.36727,6.124,6.284,9.202,5,15.943,0.014,g
59828.36971,6.124,6.284,9.202,5,16.11,0.016,r
59831.09567,6.1,6.232,9.29,5,16.022,0.044,g
59831.09811,6.1,6.232,9.29,5,15.951,0.032,r
59831.32676,6.098,6.228,9.297,5,15.946,0.04,g
59831.32922,6.098,6.228,9.297,5,15.975,0.037,r
59834.31648,6.072,6.171,9.386,5,15.941,0.031,g
59834.31892,6.072,6.171,9.386,5,16.018,0.027,r
59836.31647,6.055,6.133,9.442,5,15.87,0.023,g
59837.05595,6.048,6.119,9.461,5,15.894,0.035,g
59837.05838,6.048,6.119,9.461,5,15.849,0.029,r
59843.05853,5.996,6.004,9.602,5,15.784,0.016,g
59843.06098,5.996,6.004,9.602,5,15.807,0.017,r
59849.77699,5.937,5.876,9.718,5,15.802,0.019,g
59849.77943,5.937,5.876,9.719,5,15.722,0.026,r
59851.3592,5.923,5.847,9.74,5,15.71,0.023,g
59851.3592,5.923,5.847,9.74,5,15.649,0.022,r
59852.26427,5.915,5.829,9.751,5,15.635,0.013,g
59856.25387,5.88,5.755,9.791,5,15.718,0.021,g
59865.23314,5.8,5.589,9.829,5,15.515,0.02,g
59865.23559,5.8,5.589,9.829,5,15.554,0.021,r
59868.2227,5.773,5.535,9.826,5,15.503,0.021,g
59922.07297,5.287,4.749,9.444,5,14.887,0.029,g
59922.07543,5.287,4.749,9.444,5,14.851,0.029,r
59924.32123,5.267,4.726,9.464,5,14.804,0.033,g
59924.32367,5.267,4.726,9.464,5,14.792,0.035,r
59927.32949,5.239,4.697,9.502,5,14.657,0.032,g
59927.33193,5.239,4.697,9.502,5,14.855,0.035,r
59933.04714,5.187,4.646,9.606,5,14.754,0.028,g
59933.04957,5.186,4.646,9.606,5,14.716,0.028,r
59935.89481,5.16,4.622,9.675,5,14.66,0.053,r
59935.89725,5.16,4.622,9.675,5,14.758,0.031,g
59939.961,5.123,4.591,9.791,5,14.689,0.024,g
59939.96344,5.123,4.591,9.791,5,14.686,0.031,r
59942.31076,5.101,4.575,9.867,5,14.643,0.023,g
59942.31565,5.101,4.575,9.867,5,14.644,0.042,r
59949.29531,5.036,4.531,10.132,5,14.586,0.024,g
59949.29775,5.036,4.531,10.132,5,14.618,0.033,r
59952.29546,5.008,4.514,10.26,5,14.605,0.024,g
59952.29791,5.008,4.514,10.261,5,14.595,0.029,r
59955.28873,4.98,4.499,10.396,5,14.538,0.021,g
59958.48922,4.95,4.484,10.549,5,14.531,0.023,g
59958.49167,4.95,4.484,10.549,5,14.558,0.03,r
59961.45587,4.922,4.472,10.695,5,14.522,0.024,g
59961.46078,4.922,4.472,10.695,5,14.575,0.024,r
59967.46428,4.866,4.45,11,5,14.439,0.022,g
59967.46672,4.866,4.45,11,5,14.444,0.03,r
59970.42516,4.838,4.441,11.153,5,14.416,0.016,g
59970.4276,4.838,4.441,11.153,5,14.395,0.02,r
59980.80469,4.74,4.416,11.681,5,14.422,0.03,g
59980.80714,4.74,4.416,11.681,5,14.5,0.021,r
59983.84311,4.711,4.41,11.829,5,14.391,0.028,g
59983.84557,4.711,4.41,11.829,5,14.396,0.022,r
59986.799,4.683,4.405,11.969,5,14.412,0.034,g
59986.80145,4.683,4.405,11.969,5,14.385,0.028,r
59990.17618,4.65,4.4,12.123,5,14.327,0.018,g
59990.17861,4.65,4.4,12.123,5,14.337,0.029,r
59994.13159,4.613,4.396,12.293,5,14.345,0.023,r
59997.14633,4.584,4.392,12.414,5,14.297,0.019,g
59997.14876,4.584,4.392,12.414,5,14.355,0.03,r
59998.85345,4.567,4.391,12.479,5,14.406,0.018,g
59998.85587,4.567,4.391,12.479,5,14.201,0.031,r
60001.78057,4.539,4.388,12.586,5,14.366,0.016,g
60001.78301,4.539,4.388,12.586,5,14.319,0.024,r
60005.51791,4.503,4.385,12.711,5,14.266,0.021,g
60005.52036,4.503,4.385,12.711,5,14.3,0.023,r
60008.05543,4.479,4.383,12.788,5,14.232,0.022,g
60008.05787,4.479,4.383,12.788,5,14.244,0.025,r
60017.04782,4.392,4.376,13.016,5,14.153,0.021,g
60017.05027,4.392,4.376,13.016,5,14.29,0.028,r
60020.08012,4.362,4.373,13.076,5,14.123,0.02,g
60020.08256,4.362,4.373,13.077,5,14.238,0.027,r
60023.02407,4.334,4.37,13.127,5,14.17,0.022,g
60023.02652,4.334,4.37,13.127,5,14.191,0.024,r
60026.06304,4.304,4.367,13.171,5,14.146,0.016,g
60026.06547,4.304,4.367,13.171,5,14.141,0.033,r
60030.05248,4.265,4.363,13.216,5,14.158,0.016,g
60030.05492,4.265,4.363,13.216,5,14.123,0.021,r
60032.0472,4.245,4.36,13.233,5,14.178,0.021,g
60032.04964,4.245,4.36,13.233,5,14.164,0.026,r
60036.79456,4.199,4.353,13.262,5,14.14,0.024,g
60036.7977,4.199,4.353,13.262,5,14.132,0.029,r
60036.99705,4.197,4.353,13.263,5,14.085,0.016,g
60036.99949,4.197,4.353,13.263,5,14.137,0.018,r
60038.99426,4.177,4.35,13.27,5,14.105,0.023,r
60038.99427,4.177,4.35,13.27,5,14.124,0.01,g
60042.00789,4.147,4.344,13.276,5,14.081,0.015,g
60042.01034,4.147,4.344,13.276,5,14.075,0.016,r
60044.99696,4.118,4.339,13.276,5,14.13,0.016,g
60044.9994,4.118,4.339,13.276,5,14.112,0.017,r
60048.7674,4.081,4.33,13.268,5,13.996,0.011,g
60048.76984,4.081,4.33,13.268,5,14.017,0.015,r
60050.99422,4.059,4.325,13.26,5,13.927,0.014,g
60050.99667,4.059,4.325,13.26,5,14.023,0.015,r
60055.36127,4.015,4.314,13.237,5,14.05,0.013,g
60055.36373,4.015,4.314,13.237,5,14.037,0.013,r
60056.99418,3.999,4.309,13.227,5,13.95,0.014,g
60056.99662,3.999,4.309,13.227,5,14.011,0.014,r
60060.38728,3.965,4.299,13.201,5,13.928,0.017,g
60060.38975,3.965,4.299,13.201,5,14.004,0.017,r
